#time[s]	1CH	2CH	3CH	4CH
65.036000	815.386292	3.200934	-614.400024	819.174988
65.037000	815.386292	3.194203	-614.400024	819.174988
65.038000	815.386292	3.194651	-614.400024	819.174988
65.039000	815.386292	3.208114	-614.400024	819.174988
65.040000	815.386292	3.194203	-614.400024	819.174988
65.041000	815.386292	3.195549	-614.400024	819.174988
65.042000	815.386292	3.190164	-614.400024	819.174988
65.043000	815.386292	3.196446	-614.400024	819.174988
65.044000	815.386292	3.204973	-614.400024	819.174988
65.045000	815.386292	3.206319	-614.400024	819.174988
65.046000	815.386292	3.195997	-614.400024	819.174988
65.047000	815.386292	3.198690	-614.400024	819.174988
65.048000	815.386292	3.196895	-614.400024	819.174988
65.049000	815.386292	3.201831	-614.400024	819.174988
65.050000	815.386292	3.197793	-614.400024	819.174988
65.051000	815.386292	3.192856	-614.400024	819.174988
65.052000	815.386292	3.202280	-614.400024	819.174988
65.053000	815.386292	3.205421	-614.400024	819.174988
65.054000	815.386292	3.200934	-614.400024	819.174988
65.055000	815.386292	3.186125	-614.400024	819.174988
65.056000	815.386292	3.204973	-614.400024	819.174988
65.057000	815.386292	3.200934	-614.400024	819.174988
65.058000	815.386292	3.210358	-614.400024	819.174988
65.059000	815.386292	3.195997	-614.400024	819.174988
65.060000	815.386292	3.192856	-614.400024	819.174988
65.061000	815.386292	3.193754	-614.400024	819.174988
65.062000	815.386292	3.196446	-614.400024	819.174988
65.063000	815.386292	3.195997	-614.400024	819.174988
65.064000	815.386292	3.205870	-614.400024	819.174988
65.065000	815.386292	3.192856	-614.400024	819.174988
65.066000	815.386292	3.195549	-614.400024	819.174988
65.067000	815.386292	3.200036	-614.400024	819.174988
65.068000	815.386292	3.195549	-614.400024	819.174988
65.069000	815.386292	3.197344	-614.400024	819.174988
65.070000	815.386292	3.182984	-614.400024	819.174988
65.071000	815.386292	3.198690	-614.400024	819.174988
65.072000	815.386292	3.198690	-614.400024	819.174988
65.073000	815.386292	3.192856	-614.400024	819.174988
65.074000	815.386292	3.198241	-614.400024	819.174988
65.075000	815.386292	3.185228	-614.400024	819.174988
65.076000	815.386292	3.204075	-614.400024	819.174988
65.077000	815.386292	3.199588	-614.400024	819.174988
65.078000	815.386292	3.191510	-614.400024	819.174988
65.079000	815.386292	3.195549	-614.400024	819.174988
65.080000	815.386292	3.188369	-614.400024	819.174988
65.081000	815.386292	3.189266	-614.400024	819.174988
65.082000	815.386292	3.196446	-614.400024	819.174988
65.083000	815.386292	3.198241	-614.400024	819.174988
65.084000	815.386292	3.182535	-614.400024	819.174988
65.085000	815.386292	3.200036	-614.400024	819.174988
65.086000	815.386292	3.195100	-614.400024	819.174988
65.087000	815.386292	3.213050	-614.400024	819.174988
65.088000	815.386292	3.204973	-614.400024	819.174988
65.089000	815.386292	3.196895	-614.400024	819.174988
65.090000	815.386292	3.192856	-614.400024	819.174988
65.091000	815.386292	3.191959	-614.400024	819.174988
65.092000	815.386292	3.197793	-614.400024	819.174988
65.093000	815.386292	3.186574	-614.400024	819.174988
65.094000	815.386292	3.206319	-614.400024	819.174988
65.095000	815.386292	3.201831	-614.400024	819.174988
65.096000	815.386292	3.198241	-614.400024	819.174988
65.097000	815.386292	3.195549	-614.400024	819.174988
65.098000	815.386292	3.195549	-614.400024	819.174988
65.099000	815.386292	3.192856	-614.400024	819.174988
65.100000	815.386292	3.185676	-614.400024	819.174988
65.101000	815.386292	3.195997	-614.400024	819.174988
65.102000	815.386292	3.204973	-614.400024	819.174988
65.103000	815.386292	3.194203	-614.400024	819.174988
65.104000	815.386292	3.214845	-614.400024	819.174988
65.105000	815.386292	3.191959	-614.400024	819.174988
65.106000	815.386292	3.195549	-614.400024	819.174988
65.107000	815.386292	3.207216	-614.400024	819.174988
65.108000	815.386292	3.200036	-614.400024	819.174988
65.109000	815.386292	3.209011	-614.400024	819.174988
65.110000	815.386292	3.187471	-614.400024	819.174988
65.111000	815.386292	3.197793	-614.400024	819.174988
65.112000	815.386292	3.203626	-614.400024	819.174988
65.113000	815.386292	3.194651	-614.400024	819.174988
65.114000	815.386292	3.191510	-614.400024	819.174988
65.115000	815.386292	3.195100	-614.400024	819.174988
65.116000	815.386292	3.192408	-614.400024	819.174988
65.117000	815.386292	3.194651	-614.400024	819.174988
65.118000	815.386292	3.194651	-614.400024	819.174988
65.119000	815.386292	3.195100	-614.400024	819.174988
65.120000	815.386292	3.196895	-614.400024	819.174988
65.121000	815.386292	3.192408	-614.400024	819.174988
65.122000	815.386292	3.208114	-614.400024	819.174988
65.123000	815.386292	3.201383	-614.400024	819.174988
65.124000	815.386292	3.204973	-614.400024	819.174988
65.125000	815.386292	3.182535	-614.400024	819.174988
65.126000	815.386292	3.198690	-614.400024	819.174988
65.127000	815.386292	3.193305	-614.400024	819.174988
65.128000	815.386292	3.211255	-614.400024	819.174988
65.129000	815.386292	3.191959	-614.400024	819.174988
65.130000	815.386292	3.192408	-614.400024	819.174988
65.131000	815.386292	3.189715	-614.400024	819.174988
65.132000	815.386292	3.202280	-614.400024	819.174988
65.133000	815.386292	3.202729	-614.400024	819.174988
65.134000	815.386292	3.202280	-614.400024	819.174988
65.135000	815.386292	3.198690	-614.400024	819.174988
65.136000	815.386292	3.189715	-614.400024	819.174988
65.137000	815.386292	3.200934	-614.400024	819.174988
65.138000	815.386292	3.196446	-614.400024	819.174988
65.139000	815.386292	3.193754	-614.400024	819.174988
65.140000	815.386292	3.179394	-614.400024	819.174988
65.141000	815.386292	3.197793	-614.400024	819.174988
65.142000	815.386292	3.204075	-614.400024	819.174988
65.143000	815.386292	3.194203	-614.400024	819.174988
65.144000	815.386292	3.194203	-614.400024	819.174988
65.145000	815.386292	3.198241	-614.400024	819.174988
65.146000	815.386292	3.202729	-614.400024	819.174988
65.147000	815.386292	3.204973	-614.400024	819.174988
65.148000	815.386292	3.194203	-614.400024	819.174988
65.149000	815.386292	3.196895	-614.400024	819.174988
65.150000	815.386292	3.198241	-614.400024	819.174988
65.151000	815.386292	3.210806	-614.400024	819.174988
65.152000	815.386292	3.196895	-614.400024	819.174988
65.153000	815.386292	3.199588	-614.400024	819.174988
65.154000	815.386292	3.192408	-614.400024	819.174988
65.155000	815.386292	3.200934	-614.400024	819.174988
65.156000	815.386292	3.195549	-614.400024	819.174988
65.157000	815.386292	3.200036	-614.400024	819.174988
65.158000	815.386292	3.190613	-614.400024	819.174988
65.159000	815.386292	3.192856	-614.400024	819.174988
65.160000	815.386292	3.190164	-614.400024	819.174988
65.161000	815.386292	3.195100	-614.400024	819.174988
65.162000	815.386292	3.192408	-614.400024	819.174988
65.163000	815.386292	3.188369	-614.400024	819.174988
65.164000	815.386292	3.195100	-614.400024	819.174988
65.165000	815.386292	3.191959	-614.400024	819.174988
65.166000	815.386292	3.203178	-614.400024	819.174988
65.167000	815.386292	3.193305	-614.400024	819.174988
65.168000	815.386292	3.201831	-614.400024	819.174988
65.169000	815.386292	3.199139	-614.400024	819.174988
65.170000	815.386292	3.189266	-614.400024	819.174988
